
2025/03/13 (11:42:38) | ===> btop++ v.1.0.4
2025/03/13 (11:42:38) | DEBUG: Starting in DEBUG mode!
2025/03/13 (11:42:38) | INFO: Logger set to DEBUG
2025/03/13 (11:43:08) | DEBUG: Writing new config file
2025/03/13 (11:43:08) | INFO: Quitting! Runtime: 00:00:30

2025/03/13 (11:54:09) | ===> btop++ v.1.0.4
2025/03/13 (11:54:09) | DEBUG: Starting in DEBUG mode!
2025/03/13 (11:54:09) | INFO: Logger set to DEBUG
2025/03/13 (11:55:17) | DEBUG: Writing new config file
2025/03/13 (11:55:17) | INFO: Quitting! Runtime: 00:01:08
